,TER
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.3008695652173914
Growth 1yr High Est,-0.29648241206030146
Growth 1yr Consensus Est,-0.2986759886388464
Growth 2yr Low Est,-0.33700194678780016
Growth 2yr High Est,-0.08633644412538882
Growth 2yr Consensus Est,-0.2116691954565945
Growth 5yr Low Est,0.07434405522598547
Growth 5yr High Est,0.19495736442463743
Growth 5yr Consensus Est,0.13465070982531147
Growth 5yr Actual/Est,0.1375911226454705
Growth 3yr Historic,0.22743922743922745
