,TRN
% Below High,0.1525
% Held by Institutions,0.8858
52-Wk Range,['20.94 - 35.35']
Annual Dividend $,0.92
Annual Dividend %,0.0301
Ask,33.32
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.4
Bid,18.75
Bid Size,900.0
Change Since Close,0.00| |(0.00%)
Closing Price,29.96
Day Change $,-0.56
Day Change %,-0.0183
Day High,30.5
Day Low,29.8
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",0.51
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.37200000000000005
Last (size),4700.0
Last (time),7:00p ET 11/28/22
Last Trade,0.0
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",60.29
Prev Close,30.52
Shares Outstanding,81.4M
Short Interest,0.0337
Today's Open,30.22
Volume,226242.0
Volume 10-day Avg,416964.0
Volume Past Day,(Light)
