,VRNS
% Above Low,0.3517
% Held by Institutions,0.9765
52-Wk Range,['15.61 - 53.85']
Annual Dividend $,
Annual Dividend %,
Ask,21.12
Ask Size,900.0
B/A Ratio,2.3333333333333335
B/A Size,2100x900
Beta,1.0
Bid,20.1
Bid Size,2100.0
Closing Price,21.1
Day Change $,-0.11
Day Change %,-0.0052
Day High,21.35
Day Low,20.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,0.78
Last (size),36.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.21
Shares Outstanding,110.2M
Short Interest,0.0305
Today's Open,20.91
Volume,1192512.0
Volume 10-day Avg,1448428.0
Volume Past Day,(Below Average)
