,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,-0.31,,,-0.96,,-0.9,,-0.9299999999999999,-0.31,,
Year ending 12/2020,Positive Surprise,-0.08,,-0.7419354838709677,,0.0,,0.0,-0.16,-0.08,-0.7419354838709677,0.0
Year ending 12/2021,Positive Surprise,0.13,,-2.625,,0.0,,0.0,0.11,0.13,-2.625,0.0
Year ending 12/2022,Neutral,,0.14,0.0,0.13,-1.1354166666666667,0.15,-1.1666666666666667,0.14,0.14,0.0769230769230771,-1.1510416666666667
Year ending 12/2023,Neutral,,0.26,0.0,0.1,-0.23076923076923073,0.81,4.4,0.26,0.26,0.857142857142857,2.0846153846153848
