,PATK
% Above Low,0.3068
% Held by Institutions,0.9056000000000001
52-Wk Range,['41.75 - 86.26']
Annual Dividend $,1.8
Annual Dividend %,0.0326
Ask,54.61
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,54.34
Bid Size,200.0
Day Change $,-0.59
Day Change %,-0.010700000000000001
Day High,54.75
Day Low,54.56
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",14.32
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.49600000000000005
Last (size),100.0
Last (time),10:04a ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.85
Prev Close,55.15
Price,54.56
Shares Outstanding,22.7M
Short Interest,0.0625
Today's Open,54.75
Volume Past Day,(Light)
