,PATK
Price/Earnings (TTM),3.85017
Price/Sales (TTM),0.24617
Price/Book (MRQ),1.32031
Price/Cash Flow (TTM),2.63803
5yr Low,16.7
5yr High,98.83
5yr Avg Return,0.07008333333333333
EPS Growth 5yr,0.3173469
Revenue Growth 5yr,0.2725803
Dividend Growth 5yr,
Short Int Current Month,1329569.0
Short Int Prev Month,1415990.0
Short Int Pct of Float,0.0624817
Days to Cover,6.7068
Float,21.25933
Shares Outstanding,22.6637
Institutions Holding Shares,297.0
% Held by Institutions,0.905555
FCF Growth 5yr,0.5425940072998895
