,PATK
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,2.296019900497513
Growth 1yr High Est,2.3439803439803435
Growth 1yr Consensus Est,2.320000122238928
Growth 2yr Low Est,0.9121608936449828
Growth 2yr High Est,1.017324484995315
Growth 2yr Consensus Est,0.9647426893201488
Growth 5yr Low Est,0.47843817039972714
Growth 5yr High Est,0.5236362008309909
Growth 5yr Consensus Est,0.501037185615359
Growth 5yr Actual/Est,0.34746166219086394
Growth 3yr Historic,0.3459415584415585
