,URBN
% Below High,0.1575
% Held by Institutions,0.7894
52-Wk Range,['17.81 - 33.77']
Annual Dividend $,
Annual Dividend %,
Ask,28.77
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,28.48
Bid Size,100.0
Closing Price,28.45
Day Change $,0.16
Day Change %,0.005699999999999999
Day High,28.72
Day Low,27.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.78
Ex-dividend Date,No dividend
Historical Volatility,0.524
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,2.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.92
Prev Close,28.29
Shares Outstanding,92.2M
Short Interest,0.12
Today's Open,27.91
Volume,2455886.0
Volume 10-day Avg,2741913.0
Volume Past Day,(Below Average)
