,URBN
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.45483870967741935
Growth 1yr High Est,-0.46820809248554907
Growth 1yr Consensus Est,-0.4615234010814842
Growth 2yr Low Est,-0.1504962779156327
Growth 2yr High Est,0.029482910278964602
Growth 2yr Consensus Est,-0.060506683818334045
Growth 5yr Low Est,-9.0447752963882
Growth 5yr High Est,5.756497378782466
Growth 5yr Consensus Est,-1.6441389588028665
Growth 5yr Actual/Est,77.70880570185035
Growth 3yr Historic,77.75126262626263
