,EGBN
% Above Low,0.11220000000000001
% Held by Institutions,0.7524
52-Wk Range,['41.97 - 63.84']
Annual Dividend $,1.8
Annual Dividend %,0.038599999999999995
Ask,47.01
Ask Size,100.0
B/A Ratio,12.0
B/A Size,1200x100
Beta,0.9
Bid,46.35
Bid Size,1200.0
Closing Price,46.68
Day Change $,0.6
Day Change %,0.013000000000000001
Day High,47.07
Day Low,45.69
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.37
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.27399999999999997
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",10.68
Prev Close,46.08
Shares Outstanding,31.9M
Short Interest,0.0233
Today's Open,46.24
Volume,52901.0
Volume 10-day Avg,119024.0
Volume Past Day,(Light)
