,ETH
% Below High,0.0415
% Held by Institutions,0.8464
52-Wk Range,['19.60 - 29.90']
Annual Dividend $,1.28
Annual Dividend %,0.0447
Ask,29.8
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,25.95
Bid Size,100.0
Closing Price,28.66
Day Change $,-0.06
Day Change %,-0.0021
Day High,29.13
Day Low,28.6
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",4.42
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.397
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,726.5M
"P/E Ratio (TTM, GAAP)",6.48
Prev Close,28.72
Shares Outstanding,25.3M
Short Interest,0.1562
Today's Open,28.7
Volume,131823.0
Volume 10-day Avg,245166.0
Volume Past Day,(Light)
