,ETH
Price/Earnings (TTM),6.48001
Price/Sales (TTM),0.85469
Price/Book (MRQ),1.74722
Price/Cash Flow (TTM),5.65222
5yr Low,8.38
5yr High,32.15
5yr Avg Return,0.0284
EPS Growth 5yr,0.2560138
Revenue Growth 5yr,0.0138569
Dividend Growth 5yr,0.0978173
Short Int Current Month,3554188.0
Short Int Prev Month,3552302.0
Short Int Pct of Float,0.15616649999999999
Days to Cover,11.44839
Float,22.75896
Shares Outstanding,25.34742
Institutions Holding Shares,259.0
% Held by Institutions,0.846365
FCF Growth 5yr,0.35646002580257824
