,ANET
Price/Earnings (TTM),36.98971
Price/Sales (TTM),10.55528
Price/Book (MRQ),9.4583
Price/Cash Flow (TTM),33.93999
5yr Low,39.16
5yr High,148.57
5yr Avg Return,0.2008
EPS Growth 5yr,0.3333744
Revenue Growth 5yr,0.211588
Dividend Growth 5yr,
Short Int Current Month,3236567.0
Short Int Prev Month,4011933.0
Short Int Pct of Float,0.013823799999999999
Days to Cover,1.01524
Float,234.1299
Shares Outstanding,305.5726
Institutions Holding Shares,1117.0
% Held by Institutions,0.661801
FCF Growth 5yr,0.029874081208416985
