,ANET
% Below High,0.0862
% Held by Institutions,0.6618
52-Wk Range,['89.12 - 148.57']
Annual Dividend $,
Annual Dividend %,
Ask,136.2
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.3
Bid,135.01
Bid Size,500.0
Closing Price,135.76
Day Change $,-1.43
Day Change %,-0.0104
Day High,137.35
Day Low,135.63
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.67
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,41.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.99
Prev Close,137.19
Shares Outstanding,305.6M
Short Interest,0.0138
Today's Open,137.23
Volume,644909.0
Volume 10-day Avg,2053438.0
Volume Past Day,(Light)
