,RTX
Price/Earnings (TTM),32.50387
Price/Sales (TTM),2.17019
Price/Book (MRQ),2.0415
Price/Cash Flow (TTM),16.21993
5yr Low,48.05
5yr High,158.44
5yr Avg Return,0.02573333333333332
EPS Growth 5yr,-0.1587451
Revenue Growth 5yr,0.0237997
Dividend Growth 5yr,-0.0520998
Short Int Current Month,8347296.0
Short Int Prev Month,7084552.0
Short Int Pct of Float,0.0056841
Days to Cover,1.70713
Float,1468.554
Shares Outstanding,1470.061
Institutions Holding Shares,2603.0
% Held by Institutions,0.778013
FCF Growth 5yr,-19.893376803512634
