,RTX
% Below High,0.0818
% Held by Institutions,0.778
52-Wk Range,['79.00 - 106.02']
Annual Dividend $,2.2
Annual Dividend %,0.0226
Ask,97.37
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,1.1
Bid,97.34
Bid Size,300.0
Day Change $,-0.12
Day Change %,-0.0012
Day High,98.0
Day Low,96.93
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.0
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.271
Last (size),100.0
Last (time),1:22p ET 11/28/22
Market Cap,143.2B
"P/E Ratio (TTM, GAAP)",32.5
Prev Close,97.47
Price,97.35
Shares Outstanding,1.5B
Short Interest,0.005699999999999999
Today's Open,97.07
Volume Past Day,(Light)
