,SOI
% Below High,0.2594
% Held by Institutions,0.8540000000000001
52-Wk Range,['6.11 - 14.61']
Annual Dividend $,0.42
Annual Dividend %,0.0384
Ask,10.83
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,10.81
Bid Size,200.0
Day Change $,-0.11
Day Change %,-0.0101
Day High,10.95
Day Low,10.7
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",0.51
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.633
Last (size),100.0
Last (time),2:53p ET 11/28/22
Market Cap,356.4M
"P/E Ratio (TTM, GAAP)",21.55
Prev Close,10.93
Price,10.82
Shares Outstanding,32.9M
Short Interest,0.021099999999999997
Today's Open,10.7
Volume Past Day,(Light)
