,SOI
Price/Earnings (TTM),21.54586
Price/Sales (TTM),1.80707
Price/Book (MRQ),2.31923
Price/Cash Flow (TTM),9.20765
5yr Low,4.5
5yr High,23.98
5yr Avg Return,0.012783333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.5437387
Dividend Growth 5yr,
Short Int Current Month,664764.0
Short Int Prev Month,941622.0
Short Int Pct of Float,0.0211133
Days to Cover,1.92014
Float,31.62776
Shares Outstanding,46.6069
Institutions Holding Shares,168.0
% Held by Institutions,0.8539910000000001
FCF Growth 5yr,0.70522736390264
