,ONB
% Below High,0.08839999999999999
% Held by Institutions,0.7737999999999999
52-Wk Range,['14.22 - 20.81']
Annual Dividend $,0.56
Annual Dividend %,0.029500000000000002
Ask,19.26
Ask Size,100.0
Ask close,23.11
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,18.24
Bid Size,100.0
Bid close,14.35
Change Since Close,0.29| |(1.53%)
Closing Price,18.97
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.05
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.27
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,19.26
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.01
Prev Close,18.97
Shares Outstanding,292.9M
Short Interest,0.0236
Today's Open,
Volume,10.0
Volume 10-day Avg,1511457.0
Volume Past Day,(Light)
