,ONB
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.5238095238095237
Growth 1yr High Est,0.49629629629629624
Growth 1yr Consensus Est,0.51005291005291
Growth 2yr Low Est,0.3348214285714286
Growth 2yr High Est,0.3372570590392372
Growth 2yr Consensus Est,0.3360392438053329
Growth 5yr Low Est,0.14081496960486325
Growth 5yr High Est,0.1513871502092738
Growth 5yr Consensus Est,0.1461010599070685
Growth 5yr Actual/Est,0.13841369992425395
Growth 3yr Historic,0.06439151747655586
