,ONB
Price/Earnings (TTM),18.00955
Price/Sales (TTM),4.056
Price/Book (MRQ),1.17888
Price/Cash Flow (TTM),16.88894
5yr Low,11.19
5yr High,21.28
5yr Avg Return,0.011316666666666666
EPS Growth 5yr,0.0983324
Revenue Growth 5yr,0.0739026
Dividend Growth 5yr,0.014932
Short Int Current Month,6819336.0
Short Int Prev Month,8587023.0
Short Int Pct of Float,0.0236045
Days to Cover,3.85218
Float,289.1169
Shares Outstanding,292.89
Institutions Holding Shares,413.0
% Held by Institutions,0.773801
FCF Growth 5yr,0.6304367469862696
