,UGI
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.003597122302158251
Growth 1yr High Est,0.09310344827586214
Growth 1yr Consensus Est,0.044753162986851946
Growth 2yr Low Est,0.09386930888502187
Growth 2yr High Est,0.07809746546285223
Growth 2yr Consensus Est,0.08598338717393705
Growth 5yr Low Est,0.03507678898165375
Growth 5yr High Est,0.03567153435228402
Growth 5yr Consensus Est,0.035374161666968884
Growth 5yr Actual/Est,0.05918388449088405
Growth 3yr Historic,0.022085990484866896
