,UGI
% Above Low,0.2321
% Held by Institutions,0.8312
52-Wk Range,['31.19 - 47.04']
Annual Dividend $,1.44
Annual Dividend %,0.0363
Ask,42.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,38.2
Bid Size,300.0
Closing Price,38.43
Day Change $,-1.28
Day Change %,-0.0322
Day High,39.61
Day Low,38.39
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",4.96
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.30100000000000005
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.01
Prev Close,39.71
Shares Outstanding,209.7M
Short Interest,0.0233
Today's Open,39.11
Volume,1459133.0
Volume 10-day Avg,1567819.0
Volume Past Day,(Average)
