,UGI
Price/Earnings (TTM),8.00963
Price/Sales (TTM),0.82395
Price/Book (MRQ),1.40964
Price/Cash Flow (TTM),5.2304
5yr Low,21.75
5yr High,59.31
5yr Avg Return,-0.020150000000000005
EPS Growth 5yr,0.1506869
Revenue Growth 5yr,0.1054921
Dividend Growth 5yr,0.07704710000000001
Short Int Current Month,4853025.0
Short Int Prev Month,4412426.0
Short Int Pct of Float,0.0232892
Days to Cover,4.42424
Float,208.383
Shares Outstanding,209.6903
Institutions Holding Shares,717.0
% Held by Institutions,0.831189
FCF Growth 5yr,1.0820037986704654
