,TALO
% Below High,0.2526
% Held by Institutions,0.9523
52-Wk Range,['8.57 - 25.49']
Annual Dividend $,
Annual Dividend %,
Ask,19.05
Ask Size,600.0
B/A Ratio,1.5
B/A Size,900x600
Beta,2.4
Bid,19.04
Bid Size,900.0
Day Change $,-1.3
Day Change %,-0.0639
Day High,19.6
Day Low,18.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.5
Ex-dividend Date,No dividend
Historical Volatility,0.708
Last (size),200.0
Last (time),3:57p ET 11/28/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",3.7
Prev Close,20.35
Price,19.05
Shares Outstanding,82.6M
Short Interest,0.0934
Today's Open,19.33
Volume Past Day,(Average)
