,MCS
% Above Low,0.2066
% Held by Institutions,0.9481999999999999
52-Wk Range,['13.41 - 19.24']
Annual Dividend $,0.2
Annual Dividend %,0.0124
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,14.27
Bid Size,
Closing Price,16.18
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.03
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.326
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,510.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",496.47
Prev Close,16.18
Shares Outstanding,31.5M
Short Interest,0.1726
Today's Open,
Volume,121552.0
Volume 10-day Avg,157792.0
Volume Past Day,(Light)
