,MCS
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-5.8
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,-5.8
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,-8.42385982562039
Growth 3yr Historic,-1.1773809523809524
