,POWI
Price/Earnings (TTM),24.45928
Price/Sales (TTM),6.3783
Price/Book (MRQ),5.94223
Price/Cash Flow (TTM),19.77098
5yr Low,23.68
5yr High,110.66
5yr Avg Return,0.1665333333333333
EPS Growth 5yr,0.2650881
Revenue Growth 5yr,0.1253467
Dividend Growth 5yr,0.1574016
Short Int Current Month,2839428.0
Short Int Prev Month,3071852.0
Short Int Pct of Float,0.0504497
Days to Cover,5.02109
Float,56.40784
Shares Outstanding,57.19786
Institutions Holding Shares,450.0
% Held by Institutions,1.014648
FCF Growth 5yr,0.20378973510631507
