,POWI
% Above Low,0.3124
% Held by Institutions,1.0146
52-Wk Range,['59.16 - 105.16']
Annual Dividend $,0.72
Annual Dividend %,0.0092
Ask,77.64
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,77.49
Bid Size,200.0
Day Change $,-0.31
Day Change %,-0.004
Day High,77.76
Day Low,76.9
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.46399999999999997
Last (size),3.0
Last (time),11:19a ET 11/28/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.46
Prev Close,77.95
Price,77.64
Shares Outstanding,57.2M
Short Interest,0.0504
Today's Open,77.11
Volume Past Day,(Light)
