,MRNA
Price/Earnings (TTM),6.37879
Price/Sales (TTM),3.16828
Price/Book (MRQ),3.79429
Price/Cash Flow (TTM),5.59569
5yr Low,11.54
5yr High,497.49
5yr Avg Return,1.08498
EPS Growth 5yr,
Revenue Growth 5yr,1.794444
Dividend Growth 5yr,
Short Int Current Month,15975146.0
Short Int Prev Month,16475414.0
Short Int Pct of Float,0.0460527
Days to Cover,2.99535
Float,346.9223
Shares Outstanding,384.1805
Institutions Holding Shares,1357.0
% Held by Institutions,0.640629
FCF Growth 5yr,-0.22100105528307337
