,MRNA
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-12.75
Growth 1yr High Est,-20.371900826446282
Growth 1yr Consensus Est,-16.56095041322314
Growth 2yr Low Est,-6.9001686559418784
Growth 2yr High Est,-10.418672256226554
Growth 2yr Consensus Est,-8.659420456084217
Growth 5yr Low Est,-3.4500843279709392
Growth 5yr High Est,-5.209336128113277
Growth 5yr Consensus Est,-4.329710228042107
Growth 5yr Actual/Est,-4.041070143344474
Growth 3yr Historic,-3.7922893350888742
