,DCI
Price/Earnings (TTM),22.97616
Price/Sales (TTM),2.26582
Price/Book (MRQ),6.61651
Price/Cash Flow (TTM),17.5584
5yr Low,31.08
5yr High,69.35
5yr Avg Return,0.05028333333333333
EPS Growth 5yr,0.0889425
Revenue Growth 5yr,0.0687031
Dividend Growth 5yr,0.049200299999999995
Short Int Current Month,1064377.0
Short Int Prev Month,1465816.0
Short Int Pct of Float,0.0087279
Days to Cover,3.10204
Float,121.9744
Shares Outstanding,122.4611
Institutions Holding Shares,482.0
% Held by Institutions,0.814434
FCF Growth 5yr,0.8947013454011468
