,DCI
% Below High,0.0033
% Held by Institutions,0.8144
52-Wk Range,['46.00 - 61.39']
Annual Dividend $,0.92
Annual Dividend %,0.015
Ask,61.63
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,37.0
Bid Size,400.0
Closing Price,61.18
Day Change $,0.56
Day Change %,0.0092
Day High,61.29
Day Low,60.88
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",2.66
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.272
Last (size),726.0
Last (time),5:00p ET 11/25/22
Market Cap,7.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.98
Prev Close,60.62
Shares Outstanding,122.5M
Short Interest,0.0087
Today's Open,61.01
Volume,142404.0
Volume 10-day Avg,494208.0
Volume Past Day,(Light)
