,DCI
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.08955223880596996
Growth 1yr High Est,0.15498154981549805
Growth 1yr Consensus Est,0.12226689431073401
Growth 2yr Low Est,0.04135146186873839
Growth 2yr High Est,0.12381665350199822
Growth 2yr Consensus Est,0.0825840576853683
Growth 5yr Low Est,0.11461165770782461
Growth 5yr High Est,0.14839255600172585
Growth 5yr Consensus Est,0.13150210685477523
Growth 5yr Actual/Est,0.12197718305026595
Growth 3yr Historic,0.07879310344827589
