,SJW
% Below High,0.013999999999999999
% Held by Institutions,0.7639
52-Wk Range,['55.74 - 76.20']
Annual Dividend $,1.44
Annual Dividend %,0.0191
Ask,75.23
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,75.03
Bid Size,200.0
Day Change $,-0.1
Day Change %,-0.0013
Day High,75.67
Day Low,74.96
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.93
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.252
Last (size),100.0
Last (time),2:18p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.04
Prev Close,75.23
Price,75.13
Shares Outstanding,30.3M
Short Interest,0.0126
Today's Open,75.03
Volume Past Day,(Light)
