,RNA
Price/Earnings (TTM),
Price/Sales (TTM),82.14943
Price/Book (MRQ),1.80966
Price/Cash Flow (TTM),
5yr Low,10.89
5yr High,37.46
5yr Avg Return,-0.2016666666666667
Short Int Current Month,7032819.0
Short Int Prev Month,5554359.0
Short Int Pct of Float,0.1382592
Days to Cover,16.14231
Float,50.86692
Shares Outstanding,54.46252
Institutions Holding Shares,172.0
% Held by Institutions,0.912599
FCF Growth 5yr,0.3324145255785231
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
