,RNA
% Above Low,0.1217
% Held by Institutions,0.9126000000000001
52-Wk Range,['10.89 - 27.00']
Annual Dividend $,
Annual Dividend %,
Ask,12.23
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,12.2
Bid Size,400.0
Day Change $,-0.315
Day Change %,-0.025099999999999997
Day High,12.66
Day Low,12.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.26
Ex-dividend Date,No dividend
Historical Volatility,0.765
Last (size),100.0
Last (time),1:01p ET 11/28/22
Market Cap,665.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.53
Price,12.22
Shares Outstanding,54.5M
Short Interest,0.1383
Today's Open,12.5
Volume Past Day,(Light)
