,VZIO
% Above Low,0.6213000000000001
% Held by Institutions,0.2882
52-Wk Range,['6.47 - 20.98']
Annual Dividend $,
Annual Dividend %,
Ask,13.1
Ask Size,700.0
B/A Ratio,24.285714285714285
B/A Size,17000x700
Beta,
Bid,9.5
Bid Size,17000.0
Closing Price,10.49
Day Change $,-0.03
Day Change %,-0.0029
Day High,10.65
Day Low,10.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.09
Ex-dividend Date,No dividend
Historical Volatility,0.757
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.52
Shares Outstanding,194.5M
Short Interest,0.0659
Today's Open,10.38
Volume,544228.0
Volume 10-day Avg,518312.0
Volume Past Day,(Average)
