,VZIO
Price/Earnings (TTM),
Price/Sales (TTM),1.0446
Price/Book (MRQ),5.73362
Price/Cash Flow (TTM),
5yr Low,6.47
5yr High,28.8
5yr Avg Return,-0.17739999999999997
Short Int Current Month,3639435.0
Short Int Prev Month,3752928.0
Short Int Pct of Float,0.0658704
Days to Cover,4.89697
Float,55.05308
Shares Outstanding,194.4505
Institutions Holding Shares,128.0
% Held by Institutions,0.288215
FCF Growth 5yr,-1.4832787152523028
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
