,NOVA
Price/Earnings (TTM),
Price/Sales (TTM),6.30352
Price/Book (MRQ),2.15975
Price/Cash Flow (TTM),67.35562
5yr Low,6.12
5yr High,57.7
5yr Avg Return,0.607275
Short Int Current Month,23713580.0
Short Int Prev Month,25639645.0
Short Int Pct of Float,0.2252868
Days to Cover,6.01502
Float,105.3484
Shares Outstanding,114.9099
Institutions Holding Shares,379.0
% Held by Institutions,1.226195
FCF Growth 5yr,0.4418218461720243
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
