,GNTX
Price/Earnings (TTM),21.39642
Price/Sales (TTM),3.65638
Price/Book (MRQ),3.31704
Price/Cash Flow (TTM),16.29359
5yr Low,17.8
5yr High,37.9
5yr Avg Return,0.07976666666666667
EPS Growth 5yr,0.0468455
Revenue Growth 5yr,0.0061476
Dividend Growth 5yr,0.0652085
Short Int Current Month,3857017.0
Short Int Prev Month,3062909.0
Short Int Pct of Float,0.0165201
Days to Cover,3.59459
Float,233.4738
Shares Outstanding,234.5822
Institutions Holding Shares,583.0
% Held by Institutions,0.87774
FCF Growth 5yr,-0.09968721218292538
