,AVNT
Price/Earnings (TTM),23.99066
Price/Sales (TTM),0.80961
Price/Book (MRQ),1.79116
Price/Cash Flow (TTM),11.11787
5yr Low,8.69
5yr High,61.46
5yr Avg Return,-0.0031333333333333374
EPS Growth 5yr,0.04963599999999999
Revenue Growth 5yr,0.1039761
Dividend Growth 5yr,0.12107720000000001
Short Int Current Month,2135736.0
Short Int Prev Month,2673455.0
Short Int Pct of Float,0.023784
Days to Cover,2.04889
Float,89.81255
Shares Outstanding,90.94353
Institutions Holding Shares,370.0
% Held by Institutions,0.953903
FCF Growth 5yr,3.8425122288449693
