,AVNT
% Above Low,0.226
% Held by Institutions,0.9539
52-Wk Range,['27.65 - 58.60']
Annual Dividend $,0.99
Annual Dividend %,0.0292
Ask,34.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,32.95
Bid Size,100.0
Closing Price,33.9
Day Change $,0.0
Day Change %,0.0
Day High,34.3
Day Low,33.48
Dividend Pay Date,2023-01-06 00:00:00
"EPS (TTM, GAAP)",1.41
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.48100000000000004
Last (size),43.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
"P/E Ratio (TTM, GAAP)",23.99
Prev Close,33.9
Shares Outstanding,90.9M
Short Interest,0.023799999999999998
Today's Open,33.83
Volume,208421.0
Volume 10-day Avg,666977.0
Volume Past Day,(Light)
