,LCII
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.5727699530516432
Growth 1yr High Est,0.6660617059891107
Growth 1yr Consensus Est,0.619415829520377
Growth 2yr Low Est,0.025190946675075376
Growth 2yr High Est,0.20394588567429395
Growth 2yr Consensus Est,0.11456841617468466
Growth 5yr Low Est,0.21396078176990896
Growth 5yr High Est,0.2986974390872599
Growth 5yr Consensus Est,0.2563291104285844
Growth 5yr Actual/Est,0.2602115985939354
Growth 3yr Historic,0.21426602043185516
