,LCII
% Above Low,0.1328
% Held by Institutions,0.9643
52-Wk Range,['89.28 - 162.60']
Annual Dividend $,4.2
Annual Dividend %,0.0415
Ask,157.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,82.26
Bid Size,100.0
Closing Price,101.14
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",19.38
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.49700000000000005
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.22
Prev Close,101.14
Shares Outstanding,25.4M
Short Interest,0.08039999999999999
Today's Open,
Volume,43485.0
Volume 10-day Avg,178196.0
Volume Past Day,(Light)
