,LCII
Price/Earnings (TTM),5.21996
Price/Sales (TTM),0.46542
Price/Book (MRQ),1.80673
Price/Cash Flow (TTM),4.13171
5yr Low,55.29
5yr High,163.33
5yr Avg Return,0.03104999999999999
EPS Growth 5yr,0.1682265
Revenue Growth 5yr,0.2164914
Dividend Growth 5yr,0.308324
Short Int Current Month,1980028.0
Short Int Prev Month,1997253.0
Short Int Pct of Float,0.0803506
Days to Cover,7.07143
Float,24.64512
Shares Outstanding,25.43029
Institutions Holding Shares,368.0
% Held by Institutions,0.964311
FCF Growth 5yr,0.30630602459549694
