,APD
Price/Earnings (TTM),30.73891
Price/Sales (TTM),5.41465
Price/Book (MRQ),5.23053
Price/Cash Flow (TTM),19.14158
5yr Low,148.44
5yr High,327.89
5yr Avg Return,0.12789999999999999
EPS Growth 5yr,0.1433296
Revenue Growth 5yr,0.0917416
Dividend Growth 5yr,0.1138242
Short Int Current Month,2645909.0
Short Int Prev Month,2392518.0
Short Int Pct of Float,0.0119733
Days to Cover,1.86164
Float,220.9839
Shares Outstanding,221.866
Institutions Holding Shares,1866.0
% Held by Institutions,0.796993
FCF Growth 5yr,-0.18172150624581906
