,APD
% Below High,0.0039000000000000003
% Held by Institutions,0.797
52-Wk Range,['216.24 - 311.13']
Annual Dividend $,6.48
Annual Dividend %,0.0209
Ask,310.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,243.0
Bid Size,100.0
Closing Price,309.91
Day Change $,1.76
Day Change %,0.005699999999999999
Day High,311.13
Day Low,307.71
Dividend Pay Date,2023-02-13 00:00:00
"EPS (TTM, GAAP)",10.08
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.284
Last (size),326.0
Last (time),5:00p ET 11/25/22
Market Cap,68.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.74
Prev Close,308.15
Shares Outstanding,221.9M
Short Interest,0.012
Today's Open,308.72
Volume,299656.0
Volume 10-day Avg,1027969.0
Volume Past Day,(Light)
