,SMPL
% Below High,0.1574
% Held by Institutions,0.8765999999999999
52-Wk Range,['29.21 - 45.77']
Annual Dividend $,
Annual Dividend %,
Ask,38.58
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.8
Bid,38.56
Bid Size,200.0
Day Change $,-0.045
Day Change %,-0.0012
Day High,38.72
Day Low,38.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.08
Ex-dividend Date,No dividend
Historical Volatility,0.383
Last (size),100.0
Last (time),2:40p ET 11/28/22
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",35.89
Prev Close,38.61
Price,38.57
Shares Outstanding,99.0M
Short Interest,0.0275
Today's Open,38.43
Volume Past Day,(Light)
