,SMPL
Next Earnings Announcement,2023-01-04 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.15966386554621836
Growth 1yr High Est,0.3679999999999999
Growth 1yr Consensus Est,0.2638319327731091
Growth 2yr Low Est,0.1486725124832542
Growth 2yr High Est,0.2366315789473683
Growth 2yr Consensus Est,0.19265204571531125
Growth 5yr Low Est,0.09911500832216946
Growth 5yr High Est,0.1577543859649122
Growth 5yr Consensus Est,0.12843469714354083
Growth 5yr Actual/Est,0.18406008173202326
Growth 3yr Historic,0.15418586789554528
