,SMPL
Price/Earnings (TTM),35.88924
Price/Sales (TTM),3.27049
Price/Book (MRQ),2.67043
Price/Cash Flow (TTM),29.89018
5yr Low,12.14
5yr High,45.77
5yr Avg Return,0.21539999999999995
EPS Growth 5yr,
Revenue Growth 5yr,0.24154489999999998
Dividend Growth 5yr,
Short Int Current Month,2669114.0
Short Int Prev Month,3143568.0
Short Int Pct of Float,0.0274844
Days to Cover,4.20135
Float,97.30061
Shares Outstanding,98.9937
Institutions Holding Shares,321.0
% Held by Institutions,0.876631
FCF Growth 5yr,-0.47565952659839894
