,CMC
Next Earnings Announcement,2023-01-09 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.33333333333333337
Growth 1yr High Est,-0.10365853658536583
Growth 1yr Consensus Est,-0.2184959349593496
Growth 2yr Low Est,-0.30938697318007663
Growth 2yr High Est,-0.0756387921022067
Growth 2yr Consensus Est,-0.19251288264114166
Growth 5yr Low Est,0.24655326285986856
Growth 5yr High Est,0.33177309147811
Growth 5yr Consensus Est,0.2891631771689893
Growth 5yr Actual/Est,0.2902994760835247
Growth 3yr Historic,0.414308631642201
