,CMC
% Below High,0.0291
% Held by Institutions,0.8553000000000001
52-Wk Range,['30.59 - 49.41']
Annual Dividend $,0.64
Annual Dividend %,0.013300000000000001
Ask,50.63
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,47.95
Bid Size,200.0
Closing Price,47.97
Day Change $,-0.11
Day Change %,-0.0023
Day High,48.49
Day Low,47.93
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",9.95
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.40299999999999997
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.82
Prev Close,48.08
Shares Outstanding,117.4M
Short Interest,0.027000000000000003
Today's Open,48.11
Volume,168216.0
Volume 10-day Avg,826305.0
Volume Past Day,(Light)
