,CNX
% Above Low,0.39770000000000005
% Held by Institutions,0.9152
52-Wk Range,['13.00 - 24.21']
Annual Dividend $,
Annual Dividend %,
Ask,19.0
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,1.3
Bid,16.2
Bid Size,900.0
Closing Price,18.17
Day Change $,0.06
Day Change %,0.0033
Day High,18.48
Day Low,17.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.72
Ex-dividend Date,No dividend
Historical Volatility,0.459
Last (size),89.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,18.11
Shares Outstanding,180.5M
Short Interest,0.15289999999999998
Today's Open,18.0
Volume,956794.0
Volume 10-day Avg,2234103.0
Volume Past Day,(Light)
