,CNX
Price/Earnings (TTM),
Price/Sales (TTM),0.84516
Price/Book (MRQ),1.68257
Price/Cash Flow (TTM),
5yr Low,4.26
5yr High,24.21
5yr Avg Return,0.042716666666666674
EPS Growth 5yr,
Revenue Growth 5yr,0.2224525
Dividend Growth 5yr,
Short Int Current Month,26736206.0
Short Int Prev Month,29941542.0
Short Int Pct of Float,0.1529402
Days to Cover,7.9513
Float,174.8285
Shares Outstanding,180.477
Institutions Holding Shares,395.0
% Held by Institutions,0.9151560000000001
FCF Growth 5yr,0.06973852822746111
