,SWBI
% Above Low,0.17420000000000002
% Held by Institutions,0.569
52-Wk Range,['9.93 - 23.54']
Annual Dividend $,0.4
Annual Dividend %,0.0338
Ask,11.66
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.0
Bid,11.65
Bid Size,500.0
Day Change $,-0.175
Day Change %,-0.0148
Day High,11.88
Day Low,11.6
Dividend Pay Date,2022-10-06 00:00:00
"EPS (TTM, GAAP)",2.55
Ex-dividend,2022-09-21 00:00:00
Ex-dividend Date,09/21/22
Historical Volatility,0.578
Last (size),100.0
Last (time),3:41p ET 11/28/22
Market Cap,533.7M
"P/E Ratio (TTM, GAAP)",4.64
Prev Close,11.83
Price,11.66
Shares Outstanding,45.8M
Short Interest,0.0533
Today's Open,11.83
Volume Past Day,(Light)
