,SWBI
Price/Earnings (TTM),4.63734
Price/Sales (TTM),0.80354
Price/Book (MRQ),1.50639
Price/Cash Flow (TTM),3.58428
5yr Low,5.41
5yr High,39.61
5yr Avg Return,0.029933333333333336
EPS Growth 5yr,0.1263995
Revenue Growth 5yr,-0.0088034
Dividend Growth 5yr,
Short Int Current Month,2394984.0
Short Int Prev Month,2814157.0
Short Int Pct of Float,0.053268899999999994
Days to Cover,3.79387
Float,45.00369
Shares Outstanding,45.77455
Institutions Holding Shares,265.0
% Held by Institutions,0.569018
FCF Growth 5yr,-0.28290572117986285
