,AVXL
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),6.14806
Price/Cash Flow (TTM),
5yr Low,1.25
5yr High,31.5
5yr Avg Return,0.4996833333333333
Short Int Current Month,10167456.0
Short Int Prev Month,10105713.0
Short Int Pct of Float,0.1345026
Days to Cover,10.30775
Float,75.59302
Shares Outstanding,77.94281
Institutions Holding Shares,194.0
% Held by Institutions,0.304923
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
