,MTH
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.3777660695468914
Growth 1yr High Est,0.4031681144609096
Growth 1yr Consensus Est,0.3904670920039005
Growth 2yr Low Est,-0.1134114202934759
Growth 2yr High Est,-0.01454849921528445
Growth 2yr Consensus Est,-0.06397995975438017
Growth 5yr Low Est,-0.1134114202934759
Growth 5yr High Est,-0.01454849921528445
Growth 5yr Consensus Est,-0.06397995975438014
Growth 5yr Actual/Est,0.3312896677135857
Growth 3yr Historic,0.35889838754517656
