,MTH
% Above Low,0.3763
% Held by Institutions,0.965
52-Wk Range,['62.51 - 125.01']
Annual Dividend $,
Annual Dividend %,
Ask,120.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,57.93
Bid Size,100.0
Closing Price,86.03
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",25.9
Ex-dividend Date,No dividend
Historical Volatility,0.462
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",3.32
Prev Close,86.03
Shares Outstanding,36.6M
Short Interest,0.0329
Today's Open,
Volume,94571.0
Volume 10-day Avg,272401.0
Volume Past Day,(Light)
