,MTH
Price/Earnings (TTM),3.32211
Price/Sales (TTM),0.54265
Price/Book (MRQ),0.85454
Price/Cash Flow (TTM),3.17422
5yr Low,25.24
5yr High,125.01
5yr Avg Return,0.14425
EPS Growth 5yr,0.4028926
Revenue Growth 5yr,0.1106843
Dividend Growth 5yr,
Short Int Current Month,1180972.0
Short Int Prev Month,1267765.0
Short Int Pct of Float,0.0329298
Days to Cover,3.80901
Float,35.86234
Shares Outstanding,36.57139
Institutions Holding Shares,366.0
% Held by Institutions,0.9649679999999999
FCF Growth 5yr,-12.945579389399612
