,DBX
Price/Earnings (TTM),20.12192
Price/Sales (TTM),3.52669
Price/Book (MRQ),
Price/Cash Flow (TTM),15.90273
5yr Low,14.55
5yr High,43.5
5yr Avg Return,-0.03404
EPS Growth 5yr,
Revenue Growth 5yr,0.20630040000000002
Dividend Growth 5yr,
Short Int Current Month,12312365.0
Short Int Prev Month,12652405.0
Short Int Pct of Float,0.0460422
Days to Cover,4.09093
Float,266.7838
Shares Outstanding,362.7364
Institutions Holding Shares,623.0
% Held by Institutions,0.809076
FCF Growth 5yr,0.5007358666060521
