,DBX
% Above Low,0.16829999999999998
% Held by Institutions,0.8090999999999999
52-Wk Range,['19.07 - 25.81']
Annual Dividend $,
Annual Dividend %,
Ask,23.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,21.1
Bid Size,100.0
Closing Price,22.28
Day Change $,-0.16
Day Change %,-0.0070999999999999995
Day High,22.44
Day Low,22.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.11
Ex-dividend Date,No dividend
Historical Volatility,0.37700000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,8.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.12
Prev Close,22.44
Shares Outstanding,362.7M
Short Interest,0.046
Today's Open,22.32
Volume,758358.0
Volume 10-day Avg,2902046.0
Volume Past Day,(Light)
