,WRBY
% Above Low,0.4632
% Held by Institutions,1.0421
52-Wk Range,['10.86 - 54.07']
Annual Dividend $,
Annual Dividend %,
Ask,18.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,12.0
Bid Size,200.0
Closing Price,15.89
Day Change $,-0.32
Day Change %,-0.0197
Day High,16.35
Day Low,15.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.838
Last (size),5.0
Last (time),7:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.21
Shares Outstanding,115.6M
Short Interest,0.1739
Today's Open,15.8
Volume,685988.0
Volume 10-day Avg,1418337.0
Volume Past Day,(Light)
